"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","P6016","P6020","P6030S1","P6030S3","Edad_","P6050","P6070","P6081","P6081S1","P6083","P6083S1","P6071","P6071S1","P6090","P6140","P6150","P6100","P6110","P6120","P6125","P6160","P6170","P6175","P6210","P6210S1","P6220","P6269","CLASE","ESC","MES","DPTO","fex_c_2011","AREA","P6080","P6080S1","INGLABO"
5120363,1,2,1,10,2,1,11,1965,54,5,4,2,,2,,,,1,,,1,3,103515,2,1,2,,4,6,,,1,6,1,66,"352,429696578832",66,6," ",850000
5120364,1,3,1,10,3,1,6,1967,52,3,6,1,1,1,2,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,66,"242,052515869345",66,6," ",800000
5120364,1,4,1,10,4,2,8,1996,23,4,4,2,,2,,,,1,,,1,5,,2,1,2,,6,2,3,,1,13,1,66,"242,052515869345",66,6," ",300000
5120365,1,1,1,10,1,1,7,1971,48,1,3,2,,2,,1,2,1,,,1,3,103515,2,1,2,,3,5,,,1,5,1,66,"376,236239261841",66,6," ",1000000
5120365,1,2,1,10,2,2,1,1972,48,2,3,2,,2,,1,1,1,,,1,5,,2,1,2,,4,6,,,1,6,1,66,"376,236239261841",66,6," ",130000
5120365,1,3,1,10,3,1,3,1997,22,3,6,1,1,1,2,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,66,"376,236239261841",66,6," ",200000
5120365,1,4,1,10,4,1,6,2001,18,3,6,1,1,1,2,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,66,"376,236239261841",66,6," ",200000
5120366,1,1,1,10,1,1,1,1990,30,1,3,2,,2,,1,2,1,,,1,1,38000,2,1,2,,5,11,2,,1,11,1,66,"476,357244366297",66,6," ",950000
5120367,1,2,1,10,2,1,4,1945,74,2,2,3,,3,,1,1,1,,,3,,,2,1,2,,3,1,,,1,1,1,66,"294,883112052703",66,6," ",400000
5120367,1,3,1,10,3,2,2,1981,38,3,6,1,2,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,66,"294,883112052703",66,6," ",800000
5120367,1,4,1,10,4,1,11,1997,22,3,6,1,2,1,1,,,1,,,1,1,33125,2,1,2,,3,5,,,1,5,1,66,"294,883112052703",66,6," ",850000
5120368,1,1,1,10,1,1,2,1955,64,1,3,3,,3,,1,2,1,,,1,3,103500,2,1,2,,5,11,2,,1,11,1,66,"267,115939852235",66,6," ",700000
5120368,1,2,1,10,2,2,3,1955,64,2,3,3,,3,,1,1,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,66,"267,115939852235",66,6," ",500000
5120368,1,3,1,10,3,1,12,1997,22,3,6,1,1,1,2,,,1,,,1,1,48000,2,1,1,2,6,3,2,2,1,14,1,66,"267,115939852235",66,6," ",1200000
5120369,1,1,1,10,1,2,10,1964,55,1,3,3,,3,,2,,1,,,1,5,,2,1,2,,3,5,,,1,5,1,66,"258,937918158817",66,6," ",880000
5120369,1,2,1,10,2,2,5,1987,32,3,6,2,,1,1,,,1,,,1,3,80000,2,1,2,,5,11,2,,1,11,1,66,"258,937918158817",66,6," ",880000
5120370,1,2,1,10,2,2,10,1992,27,3,6,2,,1,1,,,1,,,1,1,33125,2,1,2,,6,3,3,,1,14,1,66,"302,866472422225",66,6," ",828116
5120370,1,3,1,10,3,2,4,1995,24,5,6,2,,2,,,,1,,,1,1,33125,2,1,2,,6,2,3,,1,13,1,66,"302,866472422225",66,6," ",828116
5120371,1,1,1,10,1,1,6,1971,48,1,3,3,,3,,1,2,1,,,3,,,2,1,2,,5,11,2,,1,11,1,66,"402,490199131059",66,6," ",1000000
5120373,1,1,1,10,1,1,3,1986,33,1,3,2,,2,,1,2,1,,,3,,,2,1,2,,5,11,2,,1,11,1,66,"396,947219772929",66,6," ",1600000
5120375,1,1,1,10,1,1,6,1993,26,1,2,2,,2,,1,2,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,66,"361,720336309332",66,6," ",828116
5120375,1,2,1,10,2,2,4,1991,28,2,2,2,,2,,1,1,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,66,"361,720336309332",66,6," ",828116
5120376,1,2,1,10,2,1,9,1966,53,2,3,2,,2,,1,1,1,,,1,3,103515,2,1,2,,4,7,,,1,7,1,66,"328,623153895822",66,6," ",1200000
5120377,1,2,1,10,2,1,3,1991,28,4,6,2,,2,,,,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,66,"284,694599632413",66,6," ",1000000
5120377,1,3,1,10,3,2,5,1996,23,4,6,2,,2,,,,1,,,1,1,52000,2,1,2,,6,5,4,,1,16,1,66,"284,694599632413",66,6," ",1300000
5120379,1,1,1,10,1,1,5,1977,42,1,3,2,,2,,1,2,1,,,3,,,2,1,2,,3,5,,,1,5,1,66,"279,385398280007",66,6," ",500000
5120379,1,2,1,10,2,2,6,1978,41,2,3,2,,1,4,1,1,1,,,3,,,2,1,2,,3,5,,,1,5,1,66,"279,385398280007",66,6," ",50000
5120379,1,3,1,10,3,2,2,1997,22,3,6,2,,1,2,,,1,,,3,,,2,1,1,1,6,4,2,2,1,15,1,66,"279,385398280007",66,6," ",
5120380,1,3,1,10,3,1,11,1977,42,3,2,1,1,1,2,2,,1,,,2,1,100000,2,1,2,,6,7,5,,1,18,1,66,"252,904696579881",66,6," ",2500000
5120381,1,1,1,10,1,1,5,1993,26,1,2,2,,2,,1,2,1,,,1,1,60000,2,1,2,,6,4,4,,1,15,1,66,"337,913793626322",66,6," ",1400000
5120384,1,2,1,10,2,1,3,1971,48,2,3,3,,3,,1,1,1,,,3,,,2,1,2,,5,11,2,,1,11,1,66,"337,913793626322",66,6," ",1500000
5120385,1,1,1,10,1,2,10,1979,40,1,1,3,,2,,1,2,1,,,1,1,201593,2,1,2,,6,6,4,,1,17,1,66,"337,913793626322",66,6," ",5039809
5120385,1,2,1,10,2,1,3,1983,36,2,1,3,,2,,1,1,1,,,1,1,60000,2,1,2,,6,3,3,,1,14,1,66,"337,913793626322",66,6," ",1500000
5120387,1,1,1,10,1,1,5,1985,34,1,2,2,,2,,1,2,1,,,2,1,100000,2,1,2,,5,11,2,,1,11,1,66,"297,966677741008",66,6," ",2500000
5120387,1,2,1,10,2,2,2,1989,30,2,2,3,,1,6,1,1,1,,,2,5,,2,1,2,,6,2,3,,1,13,1,66,"297,966677741008",66,6," ",400000
5120388,1,1,1,10,1,1,4,1978,41,1,2,2,,2,,1,2,1,,,1,3,103515,2,1,2,,6,1,3,,1,12,1,66,"337,913793626322",66,6," ",1400000
5120389,1,1,1,10,1,1,3,1981,38,1,3,2,,2,,1,2,1,,,1,5,,2,1,2,,6,5,4,,1,16,1,66,"476,357244366297",66,6," ",1000000
5120389,1,2,1,10,2,2,8,1986,33,2,3,3,,2,,1,1,1,,,1,3,109000,2,1,2,,6,5,4,,1,16,1,66,"476,357244366297",66,6," ",1000000
5120390,1,1,1,10,1,2,10,1963,56,1,4,3,,3,,,,1,,,1,3,86000,2,1,2,,5,11,2,,1,11,1,66,"289,932919310388",66,6," ",1000000
5120390,1,2,1,10,2,2,5,1990,29,3,6,2,,1,1,,,1,,,1,3,86000,2,1,2,,6,5,4,,1,16,1,66,"289,932919310388",66,6," ",1000000
5120391,1,2,1,10,2,2,2,1957,62,2,3,3,,3,,1,1,1,,,2,1,45000,2,1,2,,6,7,5,,1,18,1,66,"252,904696579881",66,6," ",2600000
5120392,1,1,1,10,1,2,4,1986,33,1,4,2,,2,,,,1,,,1,1,80000,2,1,2,,6,3,3,,1,14,1,66,"328,318494215667",66,6," ",2000000
5120394,1,1,1,10,1,1,8,1985,34,1,3,3,,2,,1,2,1,,,1,3,103515,2,1,2,,5,11,2,,1,11,1,66,"323,080174537692",66,6," ",1000000
5120394,1,2,1,10,2,2,9,1997,22,2,3,2,,2,,1,1,1,,,1,1,60000,2,1,2,,6,5,4,,1,16,1,66,"323,080174537692",66,6," ",1500000
5120396,1,1,1,10,1,1,9,1974,45,1,3,2,,2,,1,2,1,,,2,1,109303,2,1,2,,6,2,3,,1,13,1,66,"337,913793626322",66,6," ",3000000
5120397,1,1,1,10,1,1,2,1971,48,1,3,3,,2,,2,,1,,,1,1,280000,2,1,2,,6,10,5,,1,21,1,66,"357,738897931237",66,6," ",7000000
5120398,1,1,1,10,1,2,10,1985,34,1,2,2,,2,,1,2,1,,,1,1,80000,2,1,2,,6,5,4,,1,16,1,66,"337,913793626322",66,6," ",2000000
5120398,1,2,1,10,2,1,9,1981,38,2,2,2,,2,,1,1,1,,,1,1,200000,2,1,2,,6,7,5,,1,18,1,66,"337,913793626322",66,6," ",5000000
5120400,1,1,1,10,1,2,1,1992,28,1,6,2,,2,,,,1,,,1,1,44000,2,1,2,,6,1,3,,1,12,1,68,"453,382954671502",68,6," ",1000000
5120400,1,2,1,10,2,1,8,1998,21,5,6,2,,2,,,,1,,,1,1,33125,2,1,2,,6,2,3,,1,13,1,68,"453,382954671502",68,6," ",900000
5120400,1,3,1,10,3,1,6,1997,22,5,6,2,,2,,,,2,1,60,,,,2,1,2,,5,11,2,,1,11,1,68,"453,382954671502",68,6," ",850000
5120401,1,1,1,10,1,1,7,1963,56,1,3,2,,2,,1,2,1,,,1,3,103515,2,1,2,,5,11,2,,1,11,1,68,"616,66932859931",68,6," ",1600000
5120401,1,3,1,10,3,1,2,1987,32,3,6,1,1,1,2,,,1,,,1,1,52000,2,1,1,1,6,1,2,2,1,12,1,68,"616,66932859931",68,6," ",1300000
5120402,1,1,1,10,1,2,12,1964,55,1,3,3,,3,,1,2,1,,,1,5,,2,1,2,,3,5,,,1,5,1,68,"617,385761005032",68,6," ",0
5120402,1,2,1,10,2,1,12,1961,58,2,3,3,,3,,1,1,1,,,1,2,100000,2,1,2,,5,11,2,,1,11,1,68,"617,385761005032",68,6," ",150000
5120402,1,3,1,10,3,1,8,1992,27,3,6,1,2,1,1,,,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,68,"617,385761005032",68,6," ",1300000
5120403,1,1,1,10,1,2,10,1982,37,1,4,2,,2,,,,1,,,1,1,33155,2,1,2,,6,3,3,,1,14,1,68,"996,726232566189",68,6," ",860000
5120403,1,6,1,10,6,1,10,1991,28,9,2,2,,2,,1,5,2,1,22,,,,2,1,2,,4,9,,,1,9,1,68,"996,726232566189",68,6," ",650000
5120403,1,9,1,10,9,2,6,1974,45,9,2,3,,3,,1,10,2,1,12,,,,2,1,2,,4,6,,,1,6,1,68,"996,726232566189",68,6," ",775000
5120403,1,10,1,10,10,1,4,1955,64,9,2,3,,3,,1,9,2,1,3,,,,1,1,2,,4,6,,,1,6,1,68,"996,726232566189",68,6," ",75000
5120404,1,3,1,10,3,2,10,1982,37,4,3,2,,3,,1,4,1,,,1,1,33125,2,1,2,,6,3,3,,1,14,1,68,"527,225568427274",68,6," ",828116
5120404,1,4,1,10,4,1,11,1981,38,5,3,3,,3,,1,3,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,68,"527,225568427274",68,6," ",828116
5120405,1,1,1,10,1,1,4,1955,64,1,3,3,,3,,1,2,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"952,066941622817",68,6," ",500000
5120405,1,3,1,10,3,2,4,1989,30,3,6,3,,1,2,,,1,,,1,1,33155,2,1,2,,5,11,2,,1,11,1,68,"952,066941622817",68,6," ",1028116
5120405,1,5,1,10,5,1,9,2001,18,3,6,2,,1,2,,,1,,,3,,,2,1,2,,4,8,,,1,8,1,68,"952,066941622817",68,6," ",80000
5120406,1,1,1,10,1,1,7,1952,67,1,4,3,,3,,,,1,,,1,5,,2,1,2,,3,5,,,1,5,1,68,"1255,83580692974",68,6," ",700000
5120406,1,2,1,10,2,1,8,1986,33,3,4,1,1,2,,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"1255,83580692974",68,6," ",500000
5120407,1,1,1,10,1,1,1,1987,33,1,3,2,,1,5,1,2,1,,,1,5,,2,1,2,,3,5,,,1,5,1,68,"835,31107669106",68,6," ",900000
5120407,1,2,1,10,2,2,3,1993,26,2,3,2,,2,,1,1,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,68,"835,31107669106",68,6," ",828116
5120407,1,5,1,10,5,2,5,1965,54,5,4,3,,3,,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"835,31107669106",68,6," ",70000
5120407,2,2,2,10,2,2,1,1981,39,2,2,3,,3,,1,1,2,1,24,,,,2,1,2,,5,11,2,,1,11,1,68,"835,31107669106",68,6," ",720000
5120408,1,2,1,10,2,2,2,1954,65,2,2,3,,3,,1,1,1,,,3,,,2,1,2,,3,3,,,1,3,1,68,"1203,13507576733",68,6," ",300000
5120408,1,3,1,10,3,2,6,1973,46,3,4,1,1,1,2,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"1203,13507576733",68,6," ",225000
5120408,1,6,1,10,6,1,8,1974,45,3,4,1,1,1,2,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"1203,13507576733",68,6," ",300000
5120409,2,1,2,10,1,2,12,1990,29,1,2,2,,2,,1,2,1,,,3,,,2,1,2,,3,4,,,1,4,1,68,"1079,12575845915",68,6," ",100000
5120409,2,2,2,10,1,1,12,1991,28,2,2,2,,2,,1,1,2,1,13,,,,2,1,2,,3,5,,,1,5,1,68,"1079,12575845915",68,6," ",700000
5120410,1,1,1,10,1,2,2,1983,36,1,3,3,,3,,2,,1,,,3,,,2,1,2,,4,7,,,1,7,1,68,"714,436640326548",68,6," ",300000
5120411,1,1,1,10,1,1,9,1989,30,1,2,2,,1,4,1,2,1,,,1,1,33125,1,1,2,,5,11,2,,1,11,1,68,"1024,22982339826",68,6," ",828116
5120411,1,4,1,10,4,2,12,1970,49,5,4,3,,2,,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"1024,22982339826",68,6," ",500000
5120412,1,1,1,10,1,1,1,1980,40,1,3,2,,3,,1,2,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"937,778346274298",68,6," ",1200000
5120412,1,2,1,10,2,2,2,1984,35,2,3,3,,2,,1,1,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"937,778346274298",68,6," ",720000
5120413,1,1,1,10,1,1,4,1983,36,1,2,3,,2,,1,2,1,,,1,3,103515,2,1,2,,3,5,,,1,5,1,68,"450,45631078296",68,6," ",1000000
5120413,1,2,1,10,2,2,1,1987,33,2,2,2,,2,,1,1,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,68,"450,45631078296",68,6," ",1000000
5120414,1,1,1,10,1,2,7,1976,43,1,4,3,,3,,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"562,98809655884",68,6," ",1200000
5120415,1,1,1,10,1,1,1,1987,33,1,2,2,,2,,1,2,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,68,"560,061452670299",68,6," ",828000
5120415,1,2,1,10,2,2,2,1975,44,2,2,3,,3,,1,1,1,,,1,5,,2,1,2,,3,5,,,1,5,1,68,"560,061452670299",68,6," ",72000
5120415,1,3,1,10,3,1,6,1993,26,3,6,2,,1,2,,,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,68,"560,061452670299",68,6," ",1200000
5120416,1,2,1,10,2,1,7,1984,35,3,6,3,,1,1,,,1,,,1,1,116000,2,1,2,,6,7,5,,1,18,1,68,"563,704528964562",68,6," ",3100000
5120418,1,1,1,10,1,2,7,1986,33,1,4,2,,2,,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,68,"933,009098588918",68,6," ",370000
5120419,1,1,1,10,1,1,1,1970,50,1,3,2,,2,,1,2,1,,,1,3,103515,2,1,2,,5,11,2,,1,11,1,68,"448,390599696424",68,6," ",900000
5120419,1,3,1,10,3,2,9,1998,21,3,6,1,1,1,2,,,1,,,1,3,103515,2,1,2,,5,11,2,,1,11,1,68,"448,390599696424",68,6," ",1200000
5120420,1,1,1,10,1,2,9,1994,25,1,6,2,,2,,,,1,,,1,1,100000,2,1,2,,6,6,5,,1,17,1,68,"487,003122735184",68,6," ",1800000
5120421,1,1,1,10,1,2,11,1970,49,1,5,3,,2,,,,1,,,3,,,2,1,2,,3,1,,,1,1,1,68,"438,195648962008",68,6," ",480000
5120421,1,2,1,10,2,1,6,1997,22,3,6,3,,1,1,,,1,,,3,,,2,1,2,,4,7,,,1,7,1,68,"438,195648962008",68,6," ",540000
5120421,1,3,1,10,2,1,7,2002,17,3,6,3,,1,1,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"438,195648962008",68,6," ",700000
5120422,1,2,1,10,2,1,11,1979,40,2,2,2,,2,,1,1,1,,,1,1,33156,2,1,2,,3,5,,,1,5,1,68,"342,792859974123",68,6," ",828116
5120423,1,1,1,10,1,1,1,1946,74,1,3,3,,3,,1,2,1,,,1,1,100000,2,1,2,,3,5,,,1,5,1,68,"492,593313408201",68,6," ",2500000
5120423,1,2,1,10,2,2,3,1959,60,2,3,3,,3,,1,1,1,,,1,5,,2,2,2,,1,0,,,1,0,1,68,"492,593313408201",68,6," ",50000
5120423,1,4,1,10,4,1,9,1997,22,4,6,2,,2,,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"492,593313408201",68,6," ",520000
5120423,1,5,1,10,5,2,2,2001,18,4,6,2,,2,,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,68,"492,593313408201",68,6," ",152000
5120424,1,3,1,10,3,1,5,1995,24,3,4,2,,1,1,,,2,1,24,,,,1,1,2,,4,6,,,1,6,1,68,"436,572870639661",68,6," ",
5120425,1,1,1,10,1,2,10,1968,51,1,4,2,,2,,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,68,"402,50976981179",68,6," ",480000
5120425,1,2,1,10,2,1,9,1995,24,3,2,2,,1,1,1,3,1,,,1,1,33125,2,1,2,,4,9,,,1,9,1,68,"402,50976981179",68,6," ",1128000
5120425,1,3,1,10,3,2,3,1998,21,5,2,2,,2,,1,2,2,1,2,,,,1,1,2,,5,10,1,,1,10,1,68,"402,50976981179",68,6," ",568000
5120427,1,1,1,10,1,1,4,1976,43,1,4,3,,3,,,,1,,,1,5,,2,1,2,,6,5,4,,1,16,1,68,"557,42658739256",68,6," ",1400000
5120428,1,1,1,10,1,2,2,1970,49,1,4,2,,3,,,,1,,,1,5,,1,1,2,,5,11,2,,1,11,1,68,"458,944463837782",68,6," ",400000
5120428,1,2,1,10,2,2,11,1992,27,3,6,2,,1,1,,,1,,,1,1,33125,2,1,2,,6,5,4,,1,16,1,68,"458,944463837782",68,6," ",900000
5120428,1,3,1,10,3,1,7,1999,20,3,6,2,,1,1,,,1,,,1,1,33125,2,1,2,,6,3,3,,1,14,1,68,"458,944463837782",68,6," ",828116
5120429,1,1,1,10,1,1,11,1981,38,1,3,3,,2,,1,2,1,,,2,1,100000,2,1,2,,6,1,3,,1,12,1,68,"484,076478846642",68,6," ",3400000
5120429,1,2,1,10,2,2,1,1985,35,2,3,3,,2,,1,1,1,,,1,1,70000,2,1,2,,6,6,5,,1,17,1,68,"484,076478846642",68,6," ",2300000
5120430,1,1,1,10,1,1,11,1976,43,1,2,3,,2,,1,2,1,,,2,2,98,2,1,2,,5,11,2,,1,11,1,68,"484,076478846642",68,6," ",2000000
5120430,1,2,1,10,2,2,1,1988,32,2,2,2,,2,,1,1,1,,,1,1,60000,2,1,2,,6,5,4,,1,16,1,68,"484,076478846642",68,6," ",1600000
5120431,1,1,1,10,1,1,5,1999,20,1,1,2,,2,,1,2,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,68,"1084,47856336613",68,6," ",2040000
5120431,1,2,1,10,2,2,8,1998,21,2,1,2,,2,,1,1,1,,,1,1,33155,2,1,2,,5,11,2,,1,11,1,68,"1084,47856336613",68,6," ",600000
5120431,1,3,1,10,3,1,7,1990,29,5,6,2,,2,,,,2,1,60,,,,1,1,2,,5,11,2,,1,11,1,68,"1084,47856336613",68,6," ",1750000
5120432,1,2,1,10,2,2,2,1960,59,2,1,3,,2,,1,1,1,,,1,2,99374,2,1,2,,3,5,,,1,5,1,68,"541,400787181376",68,6," ",400000
5120433,1,2,1,10,2,2,7,1973,46,2,3,3,,2,,1,1,1,,,1,1,33125,1,1,2,,5,11,2,,1,11,1,68,"389,977555424951",68,6," ",890000
5120434,1,1,1,10,1,1,12,1977,42,1,3,3,,2,,1,2,2,1,20,,,,2,1,2,,5,11,2,,1,11,1,68,"518,835786035319",68,6," ",1000000
5120434,1,2,1,10,2,2,6,1982,37,2,3,3,,1,5,1,1,2,1,16,,,,2,1,2,,6,5,4,,1,16,1,68,"518,835786035319",68,6," ",
5120434,1,3,1,10,3,1,8,2001,18,3,6,1,1,1,2,,,2,1,1,,,,2,1,2,,5,11,2,,1,11,1,68,"518,835786035319",68,6," ",
5120434,1,5,1,10,5,2,3,1959,60,5,4,3,,3,,,,2,1,16,,,,2,1,2,,6,5,4,,1,16,1,68,"518,835786035319",68,6," ",
5120435,1,1,1,10,1,1,2,1958,61,1,2,3,,3,,1,2,1,,,1,3,103500,2,1,2,,3,5,,,1,5,1,68,"596,170755158586",68,6," ",800000
5120435,1,3,1,10,3,1,5,1989,30,3,6,1,1,1,2,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"596,170755158586",68,6," ",1400000
5120436,1,1,1,10,1,2,11,1964,55,1,4,2,,2,,,,1,,,1,2,99374,2,1,2,,4,8,,,1,8,1,68,"457,344943721919",68,6," ",900000
5120436,1,2,1,10,2,2,9,1996,23,3,6,2,,1,1,,,1,,,1,5,,2,1,1,1,6,3,3,,1,14,1,68,"457,344943721919",68,6," ",30000
5120436,1,3,1,10,3,2,5,1999,20,3,6,2,,1,1,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,68,"457,344943721919",68,6," ",900000
5120437,1,1,1,10,1,1,4,1971,48,1,3,3,,3,,1,2,1,,,1,1,36000,2,1,2,,5,11,2,,1,11,1,68,"562,98809655884",68,6," ",1200000
5120437,1,2,1,10,2,2,10,1969,50,2,3,2,,2,,1,1,1,,,1,5,,2,1,2,,4,9,,,1,9,1,68,"562,98809655884",68,6," ",800000
5120438,1,1,1,10,1,2,1,1979,41,1,2,2,,3,,1,2,1,,,3,,,2,1,2,,3,1,,,1,1,1,68,"317,493802981291",68,6," ",888000
5120438,1,2,1,10,2,1,9,1962,57,2,2,3,,3,,1,1,1,,,1,5,,2,1,2,,3,2,,,1,2,1,68,"317,493802981291",68,6," ",888000
5120438,1,3,1,10,3,2,5,1994,25,3,6,2,,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"317,493802981291",68,6," ",220000
5120438,1,6,1,10,1,1,7,1996,23,3,6,2,,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"317,493802981291",68,6," ",840000
5120438,1,7,1,10,7,1,11,1998,21,3,6,2,,1,1,,,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,68,"317,493802981291",68,6," ",1600000
5120439,1,1,1,10,1,1,11,1985,34,1,6,2,,2,,,,1,,,1,3,103515,2,1,2,,6,5,4,,1,16,1,68,"574,236671424401",68,6," ",2000000
5120440,1,1,1,10,1,1,10,1986,33,1,3,2,,2,,1,2,1,,,1,1,60000,2,1,2,,5,11,2,,1,11,1,68,"531,957380658277",68,6," ",1800000
5120440,1,2,1,10,2,2,11,1982,37,2,3,3,,1,4,1,1,1,,,1,1,33125,2,1,2,,6,5,4,,1,16,1,68,"531,957380658277",68,6," ",828116
5120441,1,1,1,10,1,1,9,1958,61,1,3,3,,3,,1,2,1,,,3,,,2,1,2,,4,7,,,1,7,1,68,"541,400787181376",68,6," ",1000000
5120442,1,1,1,10,1,2,8,1976,43,1,4,2,,2,,,,1,,,1,1,33124,2,1,2,,5,11,2,,1,11,1,68,"436,891783395814",68,6," ",637000
5120442,1,2,1,10,2,1,1,1995,25,3,6,2,,1,1,,,1,,,1,4,,2,1,2,,5,11,2,,1,11,1,68,"436,891783395814",68,6," ",1150000
5120442,1,3,1,10,3,2,10,1999,20,3,6,2,,1,1,,,1,,,1,5,,2,1,1,1,6,0,2,2,1,11,1,68,"436,891783395814",68,6," ",200000
5120442,1,4,1,10,4,2,10,1997,22,3,2,2,,1,1,1,5,1,,,1,1,33125,2,1,2,,6,3,3,,1,14,1,68,"436,891783395814",68,6," ",900000
5120442,1,5,1,10,5,1,8,1996,23,5,2,2,,2,,1,4,1,,,1,1,60000,2,1,2,,5,11,2,,1,11,1,68,"436,891783395814",68,6," ",2100000
5120443,1,1,1,10,1,2,10,1980,39,1,3,2,,1,3,1,2,1,,,1,1,38000,2,1,2,,6,3,3,,1,14,1,68,"552,455954099001",68,6," ",950000
5120443,1,2,1,10,2,1,3,1990,29,2,3,2,,2,,1,1,1,,,1,1,38000,2,1,2,,5,11,2,,1,11,1,68,"552,455954099001",68,6," ",950000
5120443,1,3,1,10,3,2,1,1953,67,5,6,3,,3,,,,1,,,1,2,99374,2,1,2,,4,8,,,1,8,1,68,"552,455954099001",68,6," ",700000
5120444,1,1,1,10,1,1,5,1985,34,1,2,3,,2,,1,2,1,,,1,1,33155,2,1,2,,5,11,2,,1,11,1,68,"463,577905405918",68,6," ",1128116
5120444,1,2,1,10,2,2,5,1987,32,2,2,2,,2,,1,1,1,,,1,1,33155,2,1,1,2,6,2,3,,1,13,1,68,"463,577905405918",68,6," ",840000
5120445,1,1,1,10,1,2,12,1991,28,1,6,3,,2,,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,68,"408,091505022986",68,6," ",900000
5120446,1,2,1,10,2,1,11,1995,24,2,1,2,,2,,1,1,2,1,48,,,,2,1,2,,5,11,2,,1,11,1,68,"312,369803278947",68,6," ",720000
5120447,1,1,1,10,1,1,1,1980,40,1,3,2,,2,,1,2,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"529,367928495158",68,6," ",1092000
5120447,1,2,1,10,2,2,7,1979,40,2,3,3,,2,,1,1,1,,,3,,,2,1,2,,5,11,2,,1,11,1,68,"529,367928495158",68,6," ",949000
5120447,1,3,1,10,3,1,3,2000,19,3,6,1,1,1,2,,,1,,,1,1,33125,2,1,2,,6,2,3,,1,13,1,68,"529,367928495158",68,6," ",980000
5120448,1,1,1,10,1,1,10,1979,40,1,3,2,,2,,1,2,1,,,1,3,103600,2,1,2,,5,11,2,,1,11,1,68,"525,679439086274",68,6," ",0
5120448,1,2,1,10,1,2,8,1978,41,2,3,2,,2,,1,1,1,,,1,5,,2,1,2,,6,2,3,,1,13,1,68,"525,679439086274",68,6," ",
5120450,1,1,1,10,1,2,5,1964,55,1,3,2,,2,,1,2,1,,,1,3,106900,2,1,2,,6,5,4,,1,16,1,68,"563,704528964562",68,6," ",450000
5120450,1,2,1,10,2,1,9,1971,48,2,3,3,,3,,1,1,1,,,1,5,,2,1,2,,6,5,4,,1,16,1,68,"563,704528964562",68,6," ",1000000
5120451,1,1,1,10,1,2,10,1965,54,1,4,2,,2,,,,1,,,3,,,2,1,2,,3,3,,,1,3,1,68,"504,554826242451",68,6," ",650000
5120451,1,3,1,10,3,2,2,1978,41,5,3,2,,2,,1,4,1,,,1,1,96000,2,1,2,,5,11,2,,1,11,1,68,"504,554826242451",68,6," ",2400000
5120451,1,4,1,10,4,1,12,1970,49,5,3,2,,3,,1,3,1,,,1,1,48000,2,1,2,,4,7,,,1,7,1,68,"504,554826242451",68,6," ",1200000
5120452,1,1,1,10,1,1,7,1990,29,1,6,2,,2,,,,1,,,1,1,100000,2,1,1,2,6,6,5,,1,17,1,68,"650,221645248057",68,6," ",2700000
5120452,1,2,1,10,2,1,11,1985,34,5,6,2,,2,,,,1,,,1,1,80000,2,1,1,2,6,4,3,,1,15,1,68,"650,221645248057",68,6," ",2000000
